[000000] Main INICIO

[000000] criando 133 tarefas...
Progresso 1000/5236609 [Task 103]
Progresso 2000/5236609 [Task 39]
Progresso 3000/5236609 [Task 108]
Progresso 4000/5236609 [Task 44]
Progresso 5000/5236609 [Task 113]
Progresso 6000/5236609 [Task 49]
Progresso 7000/5236609 [Task 118]
Progresso 8000/5236609 [Task 54]
Progresso 9000/5236609 [Task 123]
Progresso 10000/5236609 [Task 59]
Progresso 11000/5236609 [Task 128]
Progresso 12000/5236609 [Task 64]
Progresso 13000/5236609 [Task 133]
Progresso 14000/5236609 [Task 69]
Progresso 15000/5236609 [Task 5]
Progresso 16000/5236609 [Task 74]
Progresso 17000/5236609 [Task 10]
Progresso 18000/5236609 [Task 79]
Progresso 19000/5236609 [Task 15]
Progresso 20000/5236609 [Task 84]
Progresso 21000/5236609 [Task 20]
Progresso 22000/5236609 [Task 89]
Progresso 23000/5236609 [Task 25]
Progresso 24000/5236609 [Task 94]
Progresso 25000/5236609 [Task 30]
Progresso 26000/5236609 [Task 99]
Progresso 27000/5236609 [Task 35]
Progresso 28000/5236609 [Task 104]
Progresso 29000/5236609 [Task 40]
Progresso 30000/5236609 [Task 109]
Progresso 31000/5236609 [Task 45]
Progresso 32000/5236609 [Task 114]
Progresso 33000/5236609 [Task 50]
Progresso 34000/5236609 [Task 119]
Progresso 35000/5236609 [Task 55]
Progresso 36000/5236609 [Task 124]
Progresso 37000/5236609 [Task 60]
Progresso 38000/5236609 [Task 129]
Progresso 39000/5236609 [Task 65]
Progresso 40000/5236609 [Task 134]
Progresso 41000/5236609 [Task 70]
Progresso 42000/5236609 [Task 6]
Progresso 43000/5236609 [Task 75]
Progresso 44000/5236609 [Task 11]
Progresso 45000/5236609 [Task 80]
Progresso 46000/5236609 [Task 16]
Progresso 47000/5236609 [Task 85]
Progresso 48000/5236609 [Task 21]
Progresso 49000/5236609 [Task 90]
Progresso 50000/5236609 [Task 26]
Progresso 51000/5236609 [Task 95]
Progresso 52000/5236609 [Task 31]
Progresso 53000/5236609 [Task 100]
Progresso 54000/5236609 [Task 36]
Progresso 55000/5236609 [Task 105]
Progresso 56000/5236609 [Task 41]
Progresso 57000/5236609 [Task 110]
Progresso 58000/5236609 [Task 46]
Progresso 59000/5236609 [Task 115]
Progresso 60000/5236609 [Task 51]
Progresso 61000/5236609 [Task 120]
Progresso 62000/5236609 [Task 56]
Progresso 63000/5236609 [Task 125]
Progresso 64000/5236609 [Task 61]
Progresso 65000/5236609 [Task 130]
Progresso 66000/5236609 [Task 66]
Progresso 67000/5236609 [Task 2]
Progresso 68000/5236609 [Task 71]
Progresso 69000/5236609 [Task 7]
Progresso 70000/5236609 [Task 76]
Progresso 71000/5236609 [Task 12]
Progresso 72000/5236609 [Task 81]
Progresso 73000/5236609 [Task 17]
Progresso 74000/5236609 [Task 86]
Progresso 75000/5236609 [Task 22]
Progresso 76000/5236609 [Task 91]
Progresso 77000/5236609 [Task 27]
Progresso 78000/5236609 [Task 96]
Progresso 79000/5236609 [Task 32]
Progresso 80000/5236609 [Task 101]
Progresso 81000/5236609 [Task 37]
Progresso 82000/5236609 [Task 106]
Progresso 83000/5236609 [Task 42]
Progresso 84000/5236609 [Task 111]
Progresso 85000/5236609 [Task 47]
Progresso 86000/5236609 [Task 116]
Progresso 87000/5236609 [Task 52]
Progresso 88000/5236609 [Task 121]
Progresso 89000/5236609 [Task 57]
Progresso 90000/5236609 [Task 126]
Progresso 91000/5236609 [Task 62]
Progresso 92000/5236609 [Task 131]
Progresso 93000/5236609 [Task 67]
Progresso 94000/5236609 [Task 3]
Progresso 95000/5236609 [Task 72]
Progresso 96000/5236609 [Task 8]
Progresso 97000/5236609 [Task 77]
Progresso 98000/5236609 [Task 13]
Progresso 99000/5236609 [Task 82]
Progresso 100000/5236609 [Task 18]
Progresso 101000/5236609 [Task 87]
Progresso 102000/5236609 [Task 23]
Progresso 103000/5236609 [Task 92]
Progresso 104000/5236609 [Task 28]
Progresso 105000/5236609 [Task 97]
Progresso 106000/5236609 [Task 33]
Progresso 107000/5236609 [Task 102]
Progresso 108000/5236609 [Task 38]
Progresso 109000/5236609 [Task 107]
Progresso 110000/5236609 [Task 43]
Progresso 111000/5236609 [Task 112]
Progresso 112000/5236609 [Task 48]
Progresso 113000/5236609 [Task 117]
Progresso 114000/5236609 [Task 53]
Progresso 115000/5236609 [Task 122]
Progresso 116000/5236609 [Task 58]
Progresso 117000/5236609 [Task 127]
Progresso 118000/5236609 [Task 63]
Progresso 119000/5236609 [Task 132]
Progresso 120000/5236609 [Task 68]
Progresso 121000/5236609 [Task 4]
Progresso 122000/5236609 [Task 73]
Progresso 123000/5236609 [Task 9]
Progresso 124000/5236609 [Task 78]
Progresso 125000/5236609 [Task 14]
Progresso 126000/5236609 [Task 83]
Progresso 127000/5236609 [Task 19]
Progresso 128000/5236609 [Task 88]
Progresso 129000/5236609 [Task 24]
Progresso 130000/5236609 [Task 93]
Progresso 131000/5236609 [Task 29]
Progresso 132000/5236609 [Task 98]
Progresso 133000/5236609 [Task 34]
Progresso 134000/5236609 [Task 103]
Progresso 135000/5236609 [Task 39]
Progresso 136000/5236609 [Task 108]
Progresso 137000/5236609 [Task 44]
Progresso 138000/5236609 [Task 113]
Progresso 139000/5236609 [Task 49]
Progresso 140000/5236609 [Task 118]
Progresso 141000/5236609 [Task 54]
Progresso 142000/5236609 [Task 123]
Progresso 143000/5236609 [Task 59]
Progresso 144000/5236609 [Task 128]
Progresso 145000/5236609 [Task 64]
Progresso 146000/5236609 [Task 133]
Progresso 147000/5236609 [Task 69]
Progresso 148000/5236609 [Task 5]
Progresso 149000/5236609 [Task 74]
Progresso 150000/5236609 [Task 10]
Progresso 151000/5236609 [Task 79]
Progresso 152000/5236609 [Task 15]
Progresso 153000/5236609 [Task 84]
Progresso 154000/5236609 [Task 20]
Progresso 155000/5236609 [Task 89]
Progresso 156000/5236609 [Task 25]
Progresso 157000/5236609 [Task 94]
Progresso 158000/5236609 [Task 30]
Progresso 159000/5236609 [Task 99]
Progresso 160000/5236609 [Task 35]
Progresso 161000/5236609 [Task 104]
Progresso 162000/5236609 [Task 40]
Progresso 163000/5236609 [Task 109]
Progresso 164000/5236609 [Task 45]
Progresso 165000/5236609 [Task 114]
Progresso 166000/5236609 [Task 50]
Progresso 167000/5236609 [Task 119]
Progresso 168000/5236609 [Task 55]
Progresso 169000/5236609 [Task 124]
Progresso 170000/5236609 [Task 60]
Progresso 171000/5236609 [Task 129]
Progresso 172000/5236609 [Task 65]
Progresso 173000/5236609 [Task 134]
Progresso 174000/5236609 [Task 70]
Progresso 175000/5236609 [Task 6]
Progresso 176000/5236609 [Task 75]
Progresso 177000/5236609 [Task 11]
Progresso 178000/5236609 [Task 80]
Progresso 179000/5236609 [Task 16]
Progresso 180000/5236609 [Task 85]
Progresso 181000/5236609 [Task 21]
Progresso 182000/5236609 [Task 90]
Progresso 183000/5236609 [Task 26]
Progresso 184000/5236609 [Task 95]
Progresso 185000/5236609 [Task 31]
Progresso 186000/5236609 [Task 100]
Progresso 187000/5236609 [Task 36]
Progresso 188000/5236609 [Task 105]
Progresso 189000/5236609 [Task 41]
Progresso 190000/5236609 [Task 110]
Progresso 191000/5236609 [Task 46]
Progresso 192000/5236609 [Task 115]
Progresso 193000/5236609 [Task 51]
Progresso 194000/5236609 [Task 120]
Progresso 195000/5236609 [Task 56]
Progresso 196000/5236609 [Task 125]
Progresso 197000/5236609 [Task 61]
Progresso 198000/5236609 [Task 130]
Progresso 199000/5236609 [Task 66]
Progresso 200000/5236609 [Task 2]
Progresso 201000/5236609 [Task 71]
Progresso 202000/5236609 [Task 7]
Progresso 203000/5236609 [Task 76]
Progresso 204000/5236609 [Task 12]
Progresso 205000/5236609 [Task 81]
Progresso 206000/5236609 [Task 17]
Progresso 207000/5236609 [Task 86]
Progresso 208000/5236609 [Task 22]
Progresso 209000/5236609 [Task 91]
Progresso 210000/5236609 [Task 27]
Progresso 211000/5236609 [Task 96]
Progresso 212000/5236609 [Task 32]
Progresso 213000/5236609 [Task 101]
Progresso 214000/5236609 [Task 37]
Progresso 215000/5236609 [Task 106]
Progresso 216000/5236609 [Task 42]
Progresso 217000/5236609 [Task 111]
Progresso 218000/5236609 [Task 47]
Progresso 219000/5236609 [Task 116]
Progresso 220000/5236609 [Task 52]
Progresso 221000/5236609 [Task 121]
Progresso 222000/5236609 [Task 57]
Progresso 223000/5236609 [Task 126]
Progresso 224000/5236609 [Task 62]
Progresso 225000/5236609 [Task 131]
Progresso 226000/5236609 [Task 67]
Progresso 227000/5236609 [Task 3]
Progresso 228000/5236609 [Task 72]
Progresso 229000/5236609 [Task 8]
Progresso 230000/5236609 [Task 77]
Progresso 231000/5236609 [Task 13]
Progresso 232000/5236609 [Task 82]
Progresso 233000/5236609 [Task 18]
Progresso 234000/5236609 [Task 87]
Progresso 235000/5236609 [Task 23]
Progresso 236000/5236609 [Task 92]
Progresso 237000/5236609 [Task 28]
Progresso 238000/5236609 [Task 97]
Progresso 239000/5236609 [Task 33]
Progresso 240000/5236609 [Task 102]
Progresso 241000/5236609 [Task 38]
Progresso 242000/5236609 [Task 107]
Progresso 243000/5236609 [Task 43]
Progresso 244000/5236609 [Task 112]
Progresso 245000/5236609 [Task 48]
Progresso 246000/5236609 [Task 117]
Progresso 247000/5236609 [Task 53]
Progresso 248000/5236609 [Task 122]
Progresso 249000/5236609 [Task 58]
Progresso 250000/5236609 [Task 127]
Progresso 251000/5236609 [Task 63]
Progresso 252000/5236609 [Task 132]
Progresso 253000/5236609 [Task 68]
Progresso 254000/5236609 [Task 4]
Progresso 255000/5236609 [Task 73]
Progresso 256000/5236609 [Task 9]
Progresso 257000/5236609 [Task 78]
Progresso 258000/5236609 [Task 14]
Progresso 259000/5236609 [Task 83]
Progresso 260000/5236609 [Task 19]
Progresso 261000/5236609 [Task 88]
Progresso 262000/5236609 [Task 24]
Progresso 263000/5236609 [Task 93]
Progresso 264000/5236609 [Task 29]
Progresso 265000/5236609 [Task 98]
Progresso 266000/5236609 [Task 34]
Progresso 267000/5236609 [Task 103]
Progresso 268000/5236609 [Task 39]
Progresso 269000/5236609 [Task 108]
Progresso 270000/5236609 [Task 44]
Progresso 271000/5236609 [Task 113]
Progresso 272000/5236609 [Task 49]
Progresso 273000/5236609 [Task 118]
Progresso 274000/5236609 [Task 54]
Progresso 275000/5236609 [Task 123]
Progresso 276000/5236609 [Task 59]
Progresso 277000/5236609 [Task 128]
Progresso 278000/5236609 [Task 64]
Progresso 279000/5236609 [Task 133]
Progresso 280000/5236609 [Task 69]
Progresso 281000/5236609 [Task 5]
Progresso 282000/5236609 [Task 74]
Progresso 283000/5236609 [Task 10]
Progresso 284000/5236609 [Task 79]
Progresso 285000/5236609 [Task 15]
Progresso 286000/5236609 [Task 84]
Progresso 287000/5236609 [Task 20]
Progresso 288000/5236609 [Task 89]
Progresso 289000/5236609 [Task 25]
Progresso 290000/5236609 [Task 94]
Progresso 291000/5236609 [Task 30]
Progresso 292000/5236609 [Task 99]
Progresso 293000/5236609 [Task 35]
Progresso 294000/5236609 [Task 104]
Progresso 295000/5236609 [Task 40]
Progresso 296000/5236609 [Task 109]
Progresso 297000/5236609 [Task 45]
Progresso 298000/5236609 [Task 114]
Progresso 299000/5236609 [Task 50]
Progresso 300000/5236609 [Task 119]
Progresso 301000/5236609 [Task 55]
Progresso 302000/5236609 [Task 124]
Progresso 303000/5236609 [Task 60]
Progresso 304000/5236609 [Task 129]
Progresso 305000/5236609 [Task 65]
Progresso 306000/5236609 [Task 134]
Progresso 307000/5236609 [Task 70]
Progresso 308000/5236609 [Task 6]
Progresso 309000/5236609 [Task 75]
Progresso 310000/5236609 [Task 11]
Progresso 311000/5236609 [Task 80]
Progresso 312000/5236609 [Task 16]
Progresso 313000/5236609 [Task 85]
Progresso 314000/5236609 [Task 21]
Progresso 315000/5236609 [Task 90]
Progresso 316000/5236609 [Task 26]
Progresso 317000/5236609 [Task 95]
Progresso 318000/5236609 [Task 31]
Progresso 319000/5236609 [Task 100]
Progresso 320000/5236609 [Task 36]
Progresso 321000/5236609 [Task 105]
Progresso 322000/5236609 [Task 41]
Progresso 323000/5236609 [Task 110]
Progresso 324000/5236609 [Task 46]
Progresso 325000/5236609 [Task 115]
Progresso 326000/5236609 [Task 51]
Progresso 327000/5236609 [Task 120]
Progresso 328000/5236609 [Task 56]
Progresso 329000/5236609 [Task 125]
Progresso 330000/5236609 [Task 61]
Progresso 331000/5236609 [Task 130]
Progresso 332000/5236609 [Task 66]
Progresso 333000/5236609 [Task 2]
Progresso 334000/5236609 [Task 71]
Progresso 335000/5236609 [Task 7]
Progresso 336000/5236609 [Task 76]
Progresso 337000/5236609 [Task 12]
Progresso 338000/5236609 [Task 81]
Progresso 339000/5236609 [Task 17]
Progresso 340000/5236609 [Task 86]
Progresso 341000/5236609 [Task 22]
Progresso 342000/5236609 [Task 91]
Progresso 343000/5236609 [Task 27]
Progresso 344000/5236609 [Task 96]
Progresso 345000/5236609 [Task 32]
Progresso 346000/5236609 [Task 101]
Progresso 347000/5236609 [Task 37]
Progresso 348000/5236609 [Task 106]
Progresso 349000/5236609 [Task 42]
Progresso 350000/5236609 [Task 111]
Progresso 351000/5236609 [Task 47]
Progresso 352000/5236609 [Task 116]
Progresso 353000/5236609 [Task 52]
Progresso 354000/5236609 [Task 121]
Progresso 355000/5236609 [Task 57]
Progresso 356000/5236609 [Task 126]
Progresso 357000/5236609 [Task 62]
Progresso 358000/5236609 [Task 131]
Progresso 359000/5236609 [Task 67]
Progresso 360000/5236609 [Task 3]
Progresso 361000/5236609 [Task 72]
Progresso 362000/5236609 [Task 8]
Progresso 363000/5236609 [Task 77]
Progresso 364000/5236609 [Task 13]
Progresso 365000/5236609 [Task 82]
Progresso 366000/5236609 [Task 18]
Progresso 367000/5236609 [Task 87]
Progresso 368000/5236609 [Task 23]
Progresso 369000/5236609 [Task 92]
Progresso 370000/5236609 [Task 28]
Progresso 371000/5236609 [Task 97]
Progresso 372000/5236609 [Task 33]
Progresso 373000/5236609 [Task 102]
Progresso 374000/5236609 [Task 38]
Progresso 375000/5236609 [Task 107]
Progresso 376000/5236609 [Task 43]
Progresso 377000/5236609 [Task 112]
Progresso 378000/5236609 [Task 48]
Progresso 379000/5236609 [Task 117]
Progresso 380000/5236609 [Task 53]
Progresso 381000/5236609 [Task 122]
Progresso 382000/5236609 [Task 58]
Progresso 383000/5236609 [Task 127]
Progresso 384000/5236609 [Task 63]
Progresso 385000/5236609 [Task 132]
Progresso 386000/5236609 [Task 68]
Progresso 387000/5236609 [Task 4]
Progresso 388000/5236609 [Task 73]
Progresso 389000/5236609 [Task 9]
Progresso 390000/5236609 [Task 78]
Progresso 391000/5236609 [Task 14]
Progresso 392000/5236609 [Task 83]
Progresso 393000/5236609 [Task 19]
Progresso 394000/5236609 [Task 88]
Progresso 395000/5236609 [Task 24]
Progresso 396000/5236609 [Task 93]
Progresso 397000/5236609 [Task 29]
Progresso 398000/5236609 [Task 98]
Progresso 399000/5236609 [Task 34]
Progresso 400000/5236609 [Task 103]
Progresso 401000/5236609 [Task 39]
Progresso 402000/5236609 [Task 108]
Progresso 403000/5236609 [Task 44]
Progresso 404000/5236609 [Task 113]
Progresso 405000/5236609 [Task 49]
Progresso 406000/5236609 [Task 118]
Progresso 407000/5236609 [Task 54]
Progresso 408000/5236609 [Task 123]
Progresso 409000/5236609 [Task 59]
Progresso 410000/5236609 [Task 128]
Progresso 411000/5236609 [Task 64]
Progresso 412000/5236609 [Task 133]
Progresso 413000/5236609 [Task 69]
Progresso 414000/5236609 [Task 5]
Progresso 415000/5236609 [Task 74]
Progresso 416000/5236609 [Task 10]
Progresso 417000/5236609 [Task 79]
Progresso 418000/5236609 [Task 15]
Progresso 419000/5236609 [Task 84]
Progresso 420000/5236609 [Task 20]
Progresso 421000/5236609 [Task 89]
Progresso 422000/5236609 [Task 25]
Progresso 423000/5236609 [Task 94]
Progresso 424000/5236609 [Task 30]
Progresso 425000/5236609 [Task 99]
Progresso 426000/5236609 [Task 35]
Progresso 427000/5236609 [Task 104]
Progresso 428000/5236609 [Task 40]
Progresso 429000/5236609 [Task 109]
Progresso 430000/5236609 [Task 45]
Progresso 431000/5236609 [Task 114]
Progresso 432000/5236609 [Task 50]
Progresso 433000/5236609 [Task 119]
Progresso 434000/5236609 [Task 55]
Progresso 435000/5236609 [Task 124]
Progresso 436000/5236609 [Task 60]
Progresso 437000/5236609 [Task 129]
Progresso 438000/5236609 [Task 65]
Progresso 439000/5236609 [Task 134]
Progresso 440000/5236609 [Task 70]
Progresso 441000/5236609 [Task 6]
Progresso 442000/5236609 [Task 75]
Progresso 443000/5236609 [Task 11]
Progresso 444000/5236609 [Task 80]
Progresso 445000/5236609 [Task 16]
Progresso 446000/5236609 [Task 85]
Progresso 447000/5236609 [Task 21]
Progresso 448000/5236609 [Task 90]
Progresso 449000/5236609 [Task 26]
Progresso 450000/5236609 [Task 95]
Progresso 451000/5236609 [Task 31]
Progresso 452000/5236609 [Task 100]
Progresso 453000/5236609 [Task 36]
Progresso 454000/5236609 [Task 105]
Progresso 455000/5236609 [Task 41]
Progresso 456000/5236609 [Task 110]
Progresso 457000/5236609 [Task 46]
Progresso 458000/5236609 [Task 115]
Progresso 459000/5236609 [Task 51]
Progresso 460000/5236609 [Task 120]
Progresso 461000/5236609 [Task 56]
Progresso 462000/5236609 [Task 125]
Progresso 463000/5236609 [Task 61]
Progresso 464000/5236609 [Task 130]
Progresso 465000/5236609 [Task 66]
Progresso 466000/5236609 [Task 2]
Progresso 467000/5236609 [Task 71]
Progresso 468000/5236609 [Task 7]
Progresso 469000/5236609 [Task 76]
Progresso 470000/5236609 [Task 12]
Progresso 471000/5236609 [Task 81]
Progresso 472000/5236609 [Task 17]
Progresso 473000/5236609 [Task 86]
Progresso 474000/5236609 [Task 22]
Progresso 475000/5236609 [Task 91]
Progresso 476000/5236609 [Task 27]
Progresso 477000/5236609 [Task 96]
Progresso 478000/5236609 [Task 32]
Progresso 479000/5236609 [Task 101]
Progresso 480000/5236609 [Task 37]
Progresso 481000/5236609 [Task 106]
Progresso 482000/5236609 [Task 42]
Progresso 483000/5236609 [Task 111]
Progresso 484000/5236609 [Task 47]
Progresso 485000/5236609 [Task 116]
Progresso 486000/5236609 [Task 52]
Progresso 487000/5236609 [Task 121]
Progresso 488000/5236609 [Task 57]
Progresso 489000/5236609 [Task 126]
Progresso 490000/5236609 [Task 62]
Progresso 491000/5236609 [Task 131]
Progresso 492000/5236609 [Task 67]
Progresso 493000/5236609 [Task 3]
Progresso 494000/5236609 [Task 72]
Progresso 495000/5236609 [Task 8]
Progresso 496000/5236609 [Task 77]
Progresso 497000/5236609 [Task 13]
Progresso 498000/5236609 [Task 82]
Progresso 499000/5236609 [Task 18]
Progresso 500000/5236609 [Task 87]
Progresso 501000/5236609 [Task 23]
Progresso 502000/5236609 [Task 92]
Progresso 503000/5236609 [Task 28]
Progresso 504000/5236609 [Task 97]
Progresso 505000/5236609 [Task 33]
Progresso 506000/5236609 [Task 102]
Progresso 507000/5236609 [Task 38]
Progresso 508000/5236609 [Task 107]
Progresso 509000/5236609 [Task 43]
Progresso 510000/5236609 [Task 112]
Progresso 511000/5236609 [Task 48]
Progresso 512000/5236609 [Task 117]
Progresso 513000/5236609 [Task 53]
Progresso 514000/5236609 [Task 122]
Progresso 515000/5236609 [Task 58]
Progresso 516000/5236609 [Task 127]
Progresso 517000/5236609 [Task 63]
Progresso 518000/5236609 [Task 132]
Progresso 519000/5236609 [Task 68]
Progresso 520000/5236609 [Task 4]
Progresso 521000/5236609 [Task 73]
Progresso 522000/5236609 [Task 9]
Progresso 523000/5236609 [Task 78]
Progresso 524000/5236609 [Task 14]
Progresso 525000/5236609 [Task 83]
Progresso 526000/5236609 [Task 19]
Progresso 527000/5236609 [Task 88]
Progresso 528000/5236609 [Task 24]
Progresso 529000/5236609 [Task 93]
Progresso 530000/5236609 [Task 29]
Progresso 531000/5236609 [Task 98]
Progresso 532000/5236609 [Task 34]
Progresso 533000/5236609 [Task 103]
Progresso 534000/5236609 [Task 39]
Progresso 535000/5236609 [Task 108]
Progresso 536000/5236609 [Task 44]
Progresso 537000/5236609 [Task 113]
Progresso 538000/5236609 [Task 49]
Progresso 539000/5236609 [Task 118]
Progresso 540000/5236609 [Task 54]
Progresso 541000/5236609 [Task 123]
Progresso 542000/5236609 [Task 59]
Progresso 543000/5236609 [Task 128]
Progresso 544000/5236609 [Task 64]
Progresso 545000/5236609 [Task 133]
Progresso 546000/5236609 [Task 69]
Progresso 547000/5236609 [Task 5]
Progresso 548000/5236609 [Task 74]
Progresso 549000/5236609 [Task 10]
Progresso 550000/5236609 [Task 79]
Progresso 551000/5236609 [Task 15]
Progresso 552000/5236609 [Task 84]
Progresso 553000/5236609 [Task 20]
Progresso 554000/5236609 [Task 89]
Progresso 555000/5236609 [Task 25]
Progresso 556000/5236609 [Task 94]
Progresso 557000/5236609 [Task 30]
Progresso 558000/5236609 [Task 99]
Progresso 559000/5236609 [Task 35]
Progresso 560000/5236609 [Task 104]
Progresso 561000/5236609 [Task 40]
Progresso 562000/5236609 [Task 109]
Progresso 563000/5236609 [Task 45]
Progresso 564000/5236609 [Task 114]
Progresso 565000/5236609 [Task 50]
Progresso 566000/5236609 [Task 119]
Progresso 567000/5236609 [Task 55]
Progresso 568000/5236609 [Task 124]
Progresso 569000/5236609 [Task 60]
Progresso 570000/5236609 [Task 129]
Progresso 571000/5236609 [Task 65]
Progresso 572000/5236609 [Task 134]
Progresso 573000/5236609 [Task 70]
Progresso 574000/5236609 [Task 6]
Progresso 575000/5236609 [Task 75]
Progresso 576000/5236609 [Task 11]
Progresso 577000/5236609 [Task 80]
Progresso 578000/5236609 [Task 16]
Progresso 579000/5236609 [Task 85]
Progresso 580000/5236609 [Task 21]
Progresso 581000/5236609 [Task 90]
Progresso 582000/5236609 [Task 26]
Progresso 583000/5236609 [Task 95]
Progresso 584000/5236609 [Task 31]
Progresso 585000/5236609 [Task 100]
Progresso 586000/5236609 [Task 36]
Progresso 587000/5236609 [Task 105]
Progresso 588000/5236609 [Task 41]
Progresso 589000/5236609 [Task 110]
Progresso 590000/5236609 [Task 46]
Progresso 591000/5236609 [Task 115]
Progresso 592000/5236609 [Task 51]
Progresso 593000/5236609 [Task 120]
Progresso 594000/5236609 [Task 56]
Progresso 595000/5236609 [Task 125]
Progresso 596000/5236609 [Task 61]
Progresso 597000/5236609 [Task 130]
Progresso 598000/5236609 [Task 66]
Progresso 599000/5236609 [Task 2]
Progresso 600000/5236609 [Task 71]
Progresso 601000/5236609 [Task 7]
Progresso 602000/5236609 [Task 76]
Progresso 603000/5236609 [Task 12]
Progresso 604000/5236609 [Task 81]
Progresso 605000/5236609 [Task 17]
Progresso 606000/5236609 [Task 86]
Progresso 607000/5236609 [Task 22]
Progresso 608000/5236609 [Task 91]
Progresso 609000/5236609 [Task 27]
Progresso 610000/5236609 [Task 96]
Progresso 611000/5236609 [Task 32]
Progresso 612000/5236609 [Task 101]
Progresso 613000/5236609 [Task 37]
Progresso 614000/5236609 [Task 106]
Progresso 615000/5236609 [Task 42]
Progresso 616000/5236609 [Task 111]
Progresso 617000/5236609 [Task 47]
Progresso 618000/5236609 [Task 116]
Progresso 619000/5236609 [Task 52]
Progresso 620000/5236609 [Task 121]
